,IN
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
33,CD
Research,NNP
Degree,NNP
Policy,NNP
Documents,NNS
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
..,VBZ
33,CD
APPENDIX,NNP
C,NNP
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
34,CD
1,CD
.,.
Further,JJ
Information,NN
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
..,VBZ
34,CD
2,CD
.,.
Contacts,NNS
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
...,:
34,CD
Page,NN
3,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
INTRODUCTION,NNP
1,CD
.,.
Aim,NNP
Code,NNP
Practice,NNP
This,DT
Code,NNP
Practice,NNP
provides,VBZ
framework,NN
procedures,NNS
practices,NNS
support,VBP
research,NN
degree,NN
candidates,NNS
supervisors,NNS
,,,
assist,JJ
UEA,NNP
achieving,VBG
strategic,JJ
commitments,NNS
.,.
Application,NNP
key,JJ
principles,NNS
(,(
see,VB
section,NN
4,CD
),)
mandatory,NN
.,.
The,DT
Code,NNP
accompanied,VBD
series,NN
Research,NNP
Degree,NNP
Policy,NNP
Documents,NNP
,,,
set,VBD
greater,JJR
detail,NN
policies,NNS
procedures,NNS
referred,VBD
document,NN
(,(
see,VB
Appendix,NNP
B,NNP
),)
.,.
2,CD
.,.
Framework,NNP
Quality,NNP
Assurance,NNP
Research,NNP
Degrees,NNP
UEA,NNP
The,DT
Learning,NNP
Teaching,NNP
Committee,NNP
(,(
LTC,NNP
),)
responsible,JJ
Senate,NNP
ensuring,VBG
enhancing,VBG
It,PRP
within,IN
formal,JJ
framework,NN
Doctoral,NNP
College,NNP
Executive,NNP
makes,VBZ
decisions,NNS
relating,VBG
postgraduate,NN
research,NN
programmes,NNS
reports,VBZ
LTC,NNP
.,.
The,DT
Doctoral,NNP
College,NNP
Executive,NNP
chaired,VBD
Pro,NNP
Vice,NNP
Chancellor,NNP
(,(
Research,NNP
Innovation,NNP
),)
involves,VBZ
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
(,(
Vice-Chair,NNP
),)
Faculty,NNP
Associate,NNP
Deans,NNP
Postgraduate,NNP
Research,NNP
