,JJ
RCUK,NNP
TRAINING,NNP
GRANT,NNP
GUIDE,NNP
To,TO
read,VB
Conditions,NNP
Research,NNP
Council,NNP
Training,NNP
Grants,NNP
UK,NNP
Quality,NNP
Code,NNP
Higher,NNP
Education,NNP
(,(
particular,JJ
Chapter,NN
B11,NNP
:,:
Research,NNP
Degrees,NNP
),)
RCUK,NNP
Statement,NNP
Expectations,NNP
Doctoral,NNP
Training,NNP
This,DT
guidance,NN
primarily,RB
use,IN
Research,NNP
Organisations,NNP
(,(
universities,NNS
,,,
research,NN
institutes,NN
bodies,NNS
),)
,,,
receipt,JJ
Research,NNP
Council,NNP
Training,NNP
Grants,NNP
.,.
A,NNP
Training,NNP
Grant,NNP
(,(
TG,NNP
),)
grant,NN
paid,VBN
Research,NNP
Council,NNP
(,(
RC,NNP
),)
Research,NNP
Organisation,NNP
(,(
RO,NNP
),)
provision,NN
postgraduate,NN
study,NN
.,.
The,DT
Research,NNP
Councils,NNP
fund,NN
students,NNS
directly,RB
,,,
fund,NN
Research,NNP
Organisations,NNP
Training,NNP
Grants,NNP
.,.
Research,NNP
Organisations,NNPS
supervisors,NNS
advertise,RB
,,,
award,JJ
manage,NN
RC,NNP
studentships,NNS
.,.
Therefore,RB
,,,
potential,JJ
current,JJ
students,NNS
contact,JJ
institution,NN
hosting,VBG
studentship,JJ
queries,NNS
.,.
Research,NNP
Organisations,NNP
responsible,JJ
checking,NN
students,NNS
’,VBP
eligibility,NN
providing,VBG
advice,NN
prospective,JJ
existing,VBG
Research,NNP
Council,NNP
students,NNS
.,.
Abbreviations,NNP
RC,NNP
Research,NNP
Council,NNP
RCUK,NNP
Research,NNP
Councils,NNP
UK,NNP
RO,NNP
Research,NNP
Organisation,NNP
RTSG,NNP
Research,NNP
Training,NNP
Support,NNP
Grant,NNP
TG,NNP
Training,NNP
Grant,NNP
Revised,VBD
April,NNP
2016,CD
1,CD
Contents,NNS
1,CD
.,.
Application,NN
Procedures,VBZ
2,CD
.,.
Research,NNP
Training,NNP
Remit,NNP
3,CD
.,.
Equality,NN
And,CC
Diversity,NNP
4,CD
.,.
Student,NN
Complaints/Difficulties,VBZ
5,CD
.,.
Student,NN
eligibility,NN
6,CD
.,.
Student,NN
eligibility,NN
’,NNP
residency,NN
7.,CD
International,NNP
recruitment,NN
RC,NNP
studentships,VBZ
8,CD
.,.
Student,NN
eligibility,NN
’,NNP
qualifications/experience,NN
9,CD
.,.
Funding,NN
,,,
stipend,VBP
fees,NNS
10,CD
.,.
London,NNP
allowances,VBZ
11,CD
.,.
Research,NN
training,VBG
support,NN
grant,NN
12,CD
.,.
Disabled,JJ
students,NNS
’,JJ
allowances,NNS
13,CD
.,.
Income,JJ
tax,NN
14,CD
.,.
National,NNP
insurance,NN
15,CD
.,.
Post-award,JJ
processes,VBZ
16,CD
.,.
Number,NNP
students,NNS
supported,VBD
co-funding,JJ
17,CD
.,.
Part-time,JJ
students,NNS
18,CD
.,.
Illness,JJ
19,CD
.,.
Maternity,NN
,,,
paternity,NN
adoption,NN
leave,VBP
20,CD
.,.
Ordinary,JJ
paternity,NN
leave,VBP
shared,VBN
parental,JJ
leave,VBP
21,CD
.,.
Maternity,NNP
leave,VBP
22,CD
.,.
Adoption,NNP
leave,VBP
23,CD
.,.
Suspension,NN
awards,NNS
(,(
abeyance,NN
),)
24,CD
.,.
Changes,NNS
thesis,VBD
title,NN
,,,
research,NN
direction,NN
,,,
course,NN
programme,NN
study,NN
25,CD
.,.
Transfers,NNS
26,CD
.,.
Termination,NN
studentships,VBZ
27,CD
.,.
Annual,JJ
leave,VBP
28,CD
.,.
Demonstrating,NN
,,,
teaching,VBG
paid,VBN
work,NN
29,CD
.,.
Internships,NNP
placements,VBZ
30,CD
.,.
Other,JJ
training,NN
activities,NNS
31,CD
.,.
Careers,NNS
transferable,JJ
skills,NNS
training,VBG
32,CD
.,.
