concerns,NNS
student,NN
's,POS
fitness,NN
study,NN
Report,NNP
concerns,NNS
straight,VBD
away,RP
student,NN
's,POS
primary,JJ
Supervisor,NNP
investigate,NN
.,.
If,IN
necessary,JJ
meeting,NN
arranged,VBD
student,NN
identify,VB
underlying,JJ
causes,NNS
reported,VBD
behaviour,JJ
appearance,NN
,,,
discuss,JJ
actions,NNS
needed,VBN
.,.
Student,NN
may,MD
request,VB
Review,NNP
Level,NNP
1,CD
finding,VBG
and/or,JJ
outcome,NN
Fitness,NNP
study,NN
levels,NNS
concern,NN
Level,NNP
2,CD
:,:
serious,JJ
concerns,NNS
student,NN
's,POS
fitness,NN
study,NN
Student,NNP
invited,VBD
attend,JJ
formal,JJ
fitness,NN
study,NN
review,NN
meeting,VBG
Head,NNP
School,NNP
Dean,NNP
Students,NNP
OUTCOME,NNP
:,:
concerns,NNS
resolved/action,NN
plan,NN
,,,
plus,CC
follow-up,JJ
meetings/agreement,NN
intercalate,NN
withdraw,NN
Fitness,NNP
study,NN
levels,NNS
concern,NN
Level,NNP
3,CD
:,:
emergency,NN
required,VBN
action,NN
referral,JJ
Faculty,NNP
Associate,NNP
Dean,NNP
Senate,NNP
Student,NNP
Discipline,NNP
Committee,NNP
Where,NNP
student,NN
's,POS
behaviour,NN
presents,VBZ
serious,JJ
immediate,JJ
risk,NN
self,NN
others,NNS
,,,
and/or,VBP
University,NNP
's,POS
reputation,NN
,,,
response,NN
action,NN
taken,VBN
Level,NNP
1,CD
2,CD
.,.
The,DT
student,NN
may,MD
required,VB
intercalate/withdraw,JJ
Examination,NNP
(,(
Viva,NNP
),)
Process,NN
Schools,NNP
make,VBP
informal,JJ
contact,NN
examiners,NNS
check,VBP
availability,NN
recommending,VBG
appointment,NN
.,.
The,DT
Board,NNP
School,NNP
recommends,VBZ
approval,NN
names,NNS
two,CD
examiners,NNS
(,(
must,MD
include,VB
one,CD
external,JJ
),)
.,.
The,DT
Learning,NNP
Teaching,NNP
Committee,NNP
approves,VBZ
appointment,JJ
examiners,NNS
recommendation,VBP
School,NNP
Board,NNP
.,.
Examiner,NNP
recommendations,NNS
must,MD
made,VB
>,JJ
3,CD
months,NNS
expected,VBN
thesis,NN
submission,NN
date,NN
.,.
Test,NNP
knowledge,NN
In,IN
next,JJ
section,NN
,,,
presented,VBN
series,NN
questions,NNS
relating,VBG
