2015,CD
(,(
Updated,VBN
October,NNP
2019,CD
),)
To,TO
attend,VB
remain,VB
present,JJ
duration,NN
oral,JJ
examination,NN
post-examination,NN
discussions,NNS
participate,VBP
questioning,VBG
candidate,NN
.,.
During,IN
viva,NN
,,,
recommend,VB
adjournment,JJ
break,NN
examination,NN
exceeds,VBZ
two,CD
hours,NNS
,,,
earlier,RB
necessary,JJ
.,.
Exceptionally,RB
,,,
Independent,NNP
Chair,NNP
may,MD
adjourn/suspend,VB
viva,NN
concerns,NNS
conduct,NN
.,.
In,IN
case,NN
,,,
advice,NN
sought,VBD
soon,RB
practicable,JJ
Head,NNP
Postgraduate,NNP
Research,NNP
Service,NNP
nominee,RB
.,.
The,DT
Independent,NNP
Chair,NNP
take,VB
brief,JJ
notes,NNS
procedural,JJ
matters,NNS
,,,
overall,JJ
conduct,NN
examination,NN
.,.
These,DT
recorded,VBD
Independent,NNP
Report,NNP
Form,NNP
,,,
proforma,NN
provided,VBD
.,.
Following,VBG
viva,NN
At,IN
end,JJ
oral,JJ
examination,NN
,,,
Independent,NNP
Chair,NNP
draw,JJ
proceedings,NNS
close,RB
explain,VBP
next,JJ
steps,NNS
procedure,NN
.,.
The,DT
Independent,NNP
Chair,NNP
shall,MD
advise,VB
examiner,NN
(,(
),)
procedural,NN
matters,NNS
(,(
example,NN
recommendations,NNS
available,JJ
),)
necessary,JJ
involved,JJ
decision,NN
outcome,NN
examination,NN
.,.
To,TO
complete,JJ
Independent,NNP
Chair,NNP
's,POS
Report,NNP
Form,NNP
oral,JJ
examination,NN
confirm,NN
satisfied,VBD
examination,NN
conducted,VBN
fairly,RB
In,IN
case,NN
examination,NN
conducted,VBD
exclusively,RB
External,JJ
Examiners,NNS
:,:
In,IN
case,NN
disagreement,NN
examiners,NNS
,,,
Independent,NNP
Chair,NNP
's,POS
role,NN
confined,VBD
advising,VBG
examiners,NNS
options,NNS
;,:
Independent,NNP
Chair,NNP
additional,JJ
casting,NN
vote,NN
use,NN
best,JJS
endeavours,NN
help,NN
examiners,NNS
reach,VBP
agreed,VBN
position,NN
.,.
After,IN
post-report,JJ
verbally,RB
candidate,VBP
supervisor,NN
(,(
present,JJ
),)
final,JJ
recommendation,NN
examiners,NNS
,,,
ensure,VB
actions,NNS
required,VBN
candidate,NN
examiners,NNS
clear,JJ
understood,JJ
parties,NNS
.,.
Where,WRB
examiners,NNS
unable,JJ
agree,JJ
outcome,NN
,,,
Independent,NNP
Chair,NNP
shall,MD
advise,VB
candidate,NN
.,.
The,DT
Independent,NNP
Chair,NNP
shall,MD
ensure,VB
individual,JJ
preliminary,JJ
reports,NNS
joint,JJ
final,JJ
report,NN
completed,VBD
line,NN
regulations,NNS
,,,
reports,NNS
submitted,VBD
Postgraduate,NNP
Research,NNP
Service,NNP
timely,JJ
fashion,NN
.,.
Postgraduate,NNP
Research,NNP
Service,NNP
Page,NNP
4,CD
4,CD
RDPD9,NNP
,,,
September,NNP
2015,CD
(,(
Updated,VBN
October,NNP
2019,CD
),)
The,DT
Independent,NNP
Chair,NNP
liaise,RB
subsequently,RB
Primary,NNP
Supervisor,NNP
External,NNP
Examiners,NNP
clarify,VBP
issues,NNS
arising,VBG
formal,JJ
report,NN
,,,
requirements,NNS
corrections,NNS
recommendations,NNS
revision,NN
thesis,NN
.,.
Where,WRB
minor,JJ
corrections,NNS
recommended,VBD
responsibility,NN
designated,VBN
External,NNP
Examiner,NNP
,,,
Independent,NNP
Chair,NNP
,,,
review,NN
thesis,NN
confirm,NN
Postgraduate,NNP
Research,NNP
Service,NNP
minor,JJ
corrections,NNS
completed,VBN
.,.
Appointment,VB
The,DT
Independent,NNP
Chair,NNP
extensive,JJ
experience,NN
examining,VBG
research,NN
degrees,NNS
.,.
Knowledge,NNP
subject,JJ
area,NN
thesis,NN
required,VBN
Independent,NNP
Chair,NNP
may,MD
,,,
necessary,JJ
,,,
member,NN
academic,JJ
staff,NN
School,NNP
student,NN
registered,VBD
.,.
To,TO
avoid,VB
possible,JJ
conflict,NN
interest,NN
,,,
Independent,NNP
Chair,NNP
supervisory,JJ
team,NN
.,.
It,PRP
emphasised,VBD
examiners,NNS
appointment,JJ
Independent,NNP
Chair,NNP
sense,NN
intended,VBD
comment,NN
academic,JJ
ability,NN
rather,RB
ensure,VB
examination,NN
conducted,VBN
according,VBG
appropriate,JJ
UEA,NNP
procedures,NNS
protect,VBP
interests,NNS
examiners,NNS
candidate,VBP
.,.
